storageUtilizationPct,orders,realizedUnits,staffedHours,effectiveHours,uphBuilding,areaUnitsSortation,ophBuilding,buildingEffectiveHours,areaUnitsAsrs,targetOphBuilding,shifts,forecastUnits,staffedHeadcount,keyAssumptionVariance,areaUnitsPutaway,storagePallets,bulkShare,areaUnitsShipping,areaUnitsPacking,systemDowntimeHrs,nonconShare,buildingRealizedUnits,areaUnitsPicking,unitsPerVendorCarton,singlesShare,areaUnitsReceiving,buildingOrders,uphDept,ophDept,weekStart,department,buildingId
4.87,1248,4077.57,1008,1006.77,3.30,407.76,1.24,6279.92,734.87,520,2,4495.69,63.00,0.08,408.30,5841.82,0.35,285.43,733.42,1.23,0.13,20734.30,1059.26,12.40,0.53,448.53,7799,4.05,1.24,2024-11-18T00:00:00.000Z,HomeGoods,BOS_DC
9.68,2116,4234.72,1488,1486.46,3.42,423.47,1.33,6089.03,753.13,520,3,4705.42,62.00,0.09,418.00,11615.52,0.31,296.43,767.72,1.54,0.21,20846.02,1110.15,10.40,0.53,465.82,8118,2.85,1.42,2024-11-18T00:00:00.000Z,HomeGoods,CHI_DC
14.48,1564,4265.27,1040,1039.79,3.65,426.53,1.37,6072.45,766.54,520,2,4504.59,65.00,0.31,425.80,17371.03,0.34,298.57,768.47,0.21,0.20,22189.20,1110.18,12.81,0.55,469.18,8324,4.10,1.50,2024-11-18T00:00:00.000Z,HomeGoods,DAL_DC
19.23,1956,4326.46,1536,1533.65,2.84,432.65,1.06,7482.27,798.65,520,3,3999.07,64.00,0.31,444.58,23071.70,0.44,302.85,766.83,2.35,0.20,21279.82,1104.99,11.19,0.77,475.91,7938,2.82,1.28,2024-11-18T00:00:00.000Z,HomeGoods,LAX_DC
0.17,986,3012.09,480,478.70,4.50,301.21,1.82,4710.16,511.99,520,2,3027.09,30.00,0.22,283.10,203.06,0.15,210.85,560.29,1.30,0.18,21206.73,813.33,9.58,0.82,331.33,8558,6.29,2.06,2024-11-25T00:00:00.000Z,Accessories,ATL_DC
4.96,767,2468.11,528,527.52,3.66,246.81,1.23,5670.53,442.45,520,2,2868.51,33.00,0.34,245.72,5953.21,0.34,172.77,445.35,0.48,0.23,20753.12,643.52,8.66,0.66,271.49,6968,4.68,1.45,2024-11-25T00:00:00.000Z,Accessories,BOS_DC
9.77,722,2395.58,624,619.32,3.90,239.56,1.37,5237.74,412.48,520,2,2703.87,39.00,0.41,228.32,11722.71,0.19,167.69,442.44,4.68,0.23,20421.50,641.58,6.20,0.60,263.51,7166,3.87,1.17,2024-11-25T00:00:00.000Z,Accessories,CHI_DC
14.57,1433,2942.52,576,573.98,4.99,294.25,1.93,4439.66,519.56,520,2,2969.05,36.00,0.12,288.20,17481.14,0.28,205.98,535.71,2.02,0.16,22164.88,775.15,11.34,0.59,323.68,8572,5.13,2.50,2024-11-25T00:00:00.000Z,Accessories,DAL_DC
19.32,1347,3387.42,720,718.20,3.67,338.74,1.57,6311.37,607.61,520,2,3099.99,45.00,0.20,337.47,23179.28,0.34,237.12,611.01,1.80,0.10,23179.34,882.85,15.13,0.59,372.62,9931,4.72,1.88,2024-11-25T00:00:00.000Z,Accessories,LAX_DC
0.17,2469,5174.25,1456,1453.27,4.50,517.42,1.82,4710.16,969.16,520,2,5917.28,91.00,0.10,540.10,203.06,0.50,362.20,908.68,2.73,0.18,21206.73,1307.50,10.80,0.70,569.17,8558,3.56,1.70,2024-11-25T00:00:00.000Z,Apparel,ATL_DC
4.96,2091,5252.48,1568,1567.25,3.66,525.25,1.23,5670.53,969.19,520,2,5770.79,98.00,0.22,539.49,5953.21,0.44,367.67,931.20,0.75,0.10,20753.12,1341.90,10.00,0.65,577.77,6968,3.35,1.33,2024-11-25T00:00:00.000Z,Apparel,BOS_DC
9.77,1858,5722.88,1312,1311.48,3.90,572.29,1.37,5237.74,1101.68,520,2,6204.54,82.00,0.29,615.22,11722.71,0.60,400.60,987.18,0.52,0.23,20421.50,1416.39,10.10,0.57,629.52,7166,4.36,1.42,2024-11-25T00:00:00.000Z,Apparel,CHI_DC
14.57,1748,5925.92,1168,1164.85,4.99,592.59,1.93,4439.66,1122.68,520,2,6205.56,73.00,0.19,626.20,17481.14,0.54,414.81,1033.06,3.15,0.18,22164.88,1484.72,12.21,0.57,651.85,8572,5.09,1.50,2024-11-25T00:00:00.000Z,Apparel,DAL_DC
19.32,2802,6025.41,1944,1943.77,3.67,602.54,1.57,6311.37,1161.81,520,3,6227.18,81.00,0.21,648.89,23179.28,0.61,421.78,1038.23,0.23,0.14,23179.34,1489.37,7.86,0.65,662.79,9931,3.10,1.44,2024-11-25T00:00:00.000Z,Apparel,LAX_DC
0.17,1482,3471.39,848,846.45,4.50,347.14,1.82,4710.16,588.52,520,2,3627.13,53.00,0.23,325.34,203.06,0.14,243.00,646.65,1.55,0.20,21206.73,938.89,9.36,0.59,381.85,8558,4.10,1.75,2024-11-25T00:00:00.000Z,Beauty,ATL_DC
4.96,1227,3585.31,1344,1342.02,3.66,358.53,1.23,5670.53,633.99,520,3,3536.84,56.00,0.21,351.71,5953.21,0.29,250.97,652.18,1.98,0.15,20753.12,943.55,14.36,0.62,394.38,6968,2.67,0.91,2024-11-25T00:00:00.000Z,Beauty,BOS_DC
9.77,1346,3203.82,1248,1245.73,3.90,320.38,1.37,5237.74,556.04,520,3,3680.53,52.00,0.27,307.99,11722.71,0.22,224.27,589.07,2.27,0.09,20421.50,853.64,13.76,0.59,352.42,7166,2.57,1.08,2024-11-25T00:00:00.000Z,Beauty,CHI_DC
14.57,1650,3700.10,592,589.96,4.99,370.01,1.93,4439.66,664.70,520,2,3602.41,37.00,0.03,369.22,17481.14,0.34,259.01,666.81,2.04,0.16,22164.88,963.35,7.46,0.56,407.01,8572,6.27,2.80,2024-11-25T00:00:00.000Z,Beauty,DAL_DC
19.32,1695,3816.71,944,941.64,3.67,381.67,1.57,6311.37,674.85,520,2,4069.40,59.00,0.23,374.38,23179.28,0.29,267.17,694.30,2.36,0.17,23179.34,1004.50,6.24,0.61,419.84,9931,4.05,1.80,2024-11-25T00:00:00.000Z,Beauty,LAX_DC
0.17,1812,5720.74,880,877.52,4.50,572.07,1.82,4710.16,1033.99,520,2,5259.66,55.00,0.12,574.63,203.06,0.36,400.45,1027.18,2.48,0.23,21206.73,1483.14,10.04,0.69,629.28,8558,6.52,2.06,2024-11-25T00:00:00.000Z,Footwear,ATL_DC
4.96,1381,4557.77,1184,1179.80,3.66,455.78,1.23,5670.53,836.79,520,2,5165.21,74.00,0.27,465.61,5953.21,0.42,319.04,810.56,4.20,0.24,20753.12,1168.63,8.82,0.69,501.36,6968,3.86,1.17,2024-11-25T00:00:00.000Z,Footwear,BOS_DC
9.77,1447,4802.76,1136,1133.91,3.90,480.28,1.37,5237.74,907.64,520,2,4916.91,71.00,0.33,506.16,11722.71,0.53,336.19,838.61,2.09,0.29,20421.50,1205.58,6.85,0.59,528.30,7166,4.24,1.28,2024-11-25T00:00:00.000Z,Footwear,CHI_DC
14.57,1781,5016.52,1136,1135.48,4.99,501.65,1.93,4439.66,942.12,520,2,4996.00,71.00,0.11,525.14,17481.14,0.51,351.16,879.49,0.52,0.22,22164.88,1265.15,9.78,0.45,551.82,8572,4.42,1.57,2024-11-25T00:00:00.000Z,Footwear,DAL_DC
19.32,2229,5296.76,1704,1701.50,3.67,529.68,1.57,6311.37,1001.69,520,3,5421.18,71.00,0.31,558.64,23179.28,0.53,370.77,924.45,2.50,0.15,23179.34,1328.89,11.48,0.61,582.64,9931,3.11,1.31,2024-11-25T00:00:00.000Z,Footwear,LAX_DC
0.17,1809,3828.26,1056,1054.22,4.50,382.83,1.82,4710.16,702.39,520,2,4139.77,66.00,0.30,390.81,203.06,0.42,267.98,681.11,1.78,0.15,21206.73,982.05,10.21,0.66,421.11,8558,3.63,1.72,2024-11-25T00:00:00.000Z,HomeGoods,ATL_DC
4.96,1502,4889.45,1056,1053.94,3.66,488.95,1.23,5670.53,899.58,520,2,4545.47,66.00,0.38,500.63,5953.21,0.43,342.26,868.41,2.06,0.14,20753.12,1251.78,10.73,0.62,537.84,6968,4.64,1.43,2024-11-25T00:00:00.000Z,HomeGoods,BOS_DC
9.77,1793,4296.46,928,927.30,3.90,429.65,1.37,5237.74,768.92,520,2,4542.82,58.00,0.07,426.98,11722.71,0.33,300.75,776.03,0.70,0.22,20421.50,1121.52,9.65,0.66,472.61,7166,4.63,1.93,2024-11-25T00:00:00.000Z,HomeGoods,CHI_DC
14.57,1960,4579.82,976,975.39,4.99,457.98,1.93,4439.66,833.67,520,2,4521.48,61.00,0.05,463.57,17481.14,0.39,320.59,818.78,0.61,0.14,22164.88,1181.45,8.55,0.62,503.78,8572,4.70,2.01,2024-11-25T00:00:00.000Z,HomeGoods,DAL_DC
19.32,1858,4653.04,1008,1006.26,3.67,465.30,1.57,6311.37,833.05,520,2,4769.76,63.00,0.12,462.61,23179.28,0.33,325.71,840.24,1.74,0.16,23179.34,1214.29,13.45,0.53,511.83,9931,4.62,1.85,2024-11-25T00:00:00.000Z,HomeGoods,LAX_DC
0.26,1044,3119.02,704,702.90,3.93,311.90,1.69,5985.05,538.78,520,2,2977.77,44.00,0.24,298.31,311.95,0.20,218.33,575.01,1.10,0.22,23536.48,833.59,12.66,0.60,343.09,10128,4.44,1.49,2024-12-02T00:00:00.000Z,Accessories,ATL_DC
5.06,891,2950.86,560,558.90,3.52,295.09,1.20,6144.32,518.77,520,2,3046.09,35.00,0.25,287.66,6068.46,0.27,206.56,538.58,1.10,0.12,21648.76,779.60,12.44,0.81,324.59,7390,5.28,1.59,2024-12-02T00:00:00.000Z,Accessories,BOS_DC
9.86,1184,3242.77,1152,1151.92,3.87,324.28,1.50,5758.69,560.13,520,3,3030.88,48.00,0.34,310.14,11833.05,0.20,226.99,597.84,0.08,0.20,22283.22,866.69,7.93,0.60,356.71,8664,2.82,1.03,2024-12-02T00:00:00.000Z,Accessories,CHI_DC
14.66,1543,3191.03,960,959.04,3.45,319.10,1.37,6674.43,539.04,520,3,3182.18,40.00,0.15,297.89,17593.57,0.13,223.37,595.59,0.96,0.17,23028.88,865.02,10.17,0.59,351.01,9159,3.33,1.61,2024-12-02T00:00:00.000Z,Accessories,DAL_DC
19.42,900,3146.42,768,766.32,4.60,314.64,1.56,5217.64,543.01,520,2,3177.72,48.00,0.21,300.64,23307.53,0.20,220.25,580.36,1.68,0.26,24016.12,841.42,7.11,0.59,346.11,8147,4.11,1.17,2024-12-02T00:00:00.000Z,Accessories,LAX_DC
0.26,2632,6203.96,2136,2132.62,3.93,620.40,1.69,5985.05,1152.66,520,3,5852.80,89.00,0.29,641.96,311.95,0.47,434.28,1095.14,3.38,0.14,23536.48,1577.08,8.91,0.63,682.44,10128,2.91,1.23,2024-12-02T00:00:00.000Z,Apparel,ATL_DC
5.06,1885,6299.57,1920,1919.37,3.52,629.96,1.20,6144.32,1195.55,520,3,6012.85,80.00,0.32,666.93,6068.46,0.55,440.97,1096.95,0.63,0.15,21648.76,1576.26,10.26,0.44,692.95,7390,3.28,0.98,2024-12-02T00:00:00.000Z,Apparel,BOS_DC
9.86,1855,6028.63,1456,1453.24,3.87,602.86,1.50,5758.69,1125.97,520,2,5973.82,91.00,0.01,627.35,11833.05,0.49,422.00,1060.66,2.76,0.18,22283.22,1526.63,6.05,0.47,663.15,8664,4.15,1.28,2024-12-02T00:00:00.000Z,Apparel,CHI_DC
14.66,1740,5638.05,1968,1965.16,3.45,563.80,1.37,6674.43,1058.03,520,3,6265.98,82.00,0.29,589.72,17593.57,0.50,394.66,988.94,2.84,0.25,23028.88,1422.71,11.97,0.52,620.19,9159,2.87,0.89,2024-12-02T00:00:00.000Z,Apparel,DAL_DC
19.42,2118,6549.38,1312,1311.28,4.60,654.94,1.56,5217.64,1265.06,520,2,6125.43,82.00,0.01,706.64,23307.53,0.61,458.46,1127.18,0.72,0.09,24016.12,1616.66,11.95,0.64,720.43,8147,4.99,1.62,2024-12-02T00:00:00.000Z,Apparel,LAX_DC
0.26,1993,4013.75,848,847.56,3.93,401.37,1.69,5985.05,698.10,520,2,3861.91,53.00,0.32,386.75,311.95,0.23,280.96,737.10,0.44,0.21,23536.48,1067.95,11.73,0.54,441.51,10128,4.74,2.35,2024-12-02T00:00:00.000Z,Beauty,ATL_DC
5.06,1083,3474.17,1248,1245.61,3.52,347.42,1.20,6144.32,610.36,520,3,3683.63,52.00,0.06,338.42,6068.46,0.26,243.19,634.34,2.39,0.21,21648.76,918.27,8.30,0.55,382.16,7390,2.79,0.87,2024-12-02T00:00:00.000Z,Beauty,BOS_DC
9.86,1257,3463.96,1176,1174.81,3.87,346.40,1.50,5758.69,634.39,520,3,3614.75,49.00,0.07,352.92,11833.05,0.41,242.48,616.99,1.19,0.19,22283.22,889.75,8.41,0.70,381.04,8664,2.95,1.07,2024-12-02T00:00:00.000Z,Beauty,CHI_DC
14.66,1562,4131.88,992,991.26,3.45,413.19,1.37,6674.43,742.35,520,2,4005.72,62.00,0.27,412.36,17593.57,0.34,289.23,744.57,0.74,0.21,23028.88,1075.67,8.22,0.51,454.51,9159,4.17,1.58,2024-12-02T00:00:00.000Z,Beauty,DAL_DC
19.42,1152,3638.66,984,983.37,4.60,363.87,1.56,5217.64,632.62,520,3,3575.91,41.00,0.13,350.47,23307.53,0.23,254.71,668.36,0.63,0.13,24016.12,968.39,7.93,0.62,400.25,8147,3.70,1.17,2024-12-02T00:00:00.000Z,Beauty,LAX_DC
0.26,2940,5953.37,1200,1199.54,3.93,595.34,1.69,5985.05,1084.95,520,2,5718.07,75.00,0.28,603.34,311.95,0.39,416.74,1063.60,0.46,0.26,23536.48,1534.53,9.29,0.56,654.87,10128,4.96,2.45,2024-12-02T00:00:00.000Z,Footwear,ATL_DC
5.06,1615,4952.07,1056,1054.67,3.52,495.21,1.20,6144.32,922.86,520,2,5185.22,66.00,0.46,514.10,6068.46,0.48,346.64,872.48,1.33,0.17,21648.76,1256.05,7.15,0.69,544.73,7390,4.70,1.53,2024-12-02T00:00:00.000Z,Footwear,BOS_DC
9.86,2125,4878.03,992,989.39,3.87,487.80,1.50,5758.69,894.35,520,2,5115.37,62.00,0.04,497.59,11833.05,0.42,341.46,868.26,2.61,0.13,22283.22,1251.98,14.11,0.80,536.58,8664,4.93,2.15,2024-12-02T00:00:00.000Z,Footwear,CHI_DC
14.66,1969,5320.64,1200,1199.70,3.45,532.06,1.37,6674.43,954.31,520,2,5592.89,75.00,0.25,530.02,17593.57,0.34,372.45,959.76,0.30,0.24,23028.88,1386.77,12.04,0.64,585.27,9159,4.43,1.64,2024-12-02T00:00:00.000Z,Footwear,DAL_DC
19.42,1682,5338.72,1184,1180.96,4.60,533.87,1.56,5217.64,991.97,520,2,5013.25,74.00,0.06,552.47,23307.53,0.47,373.71,942.37,3.04,0.16,24016.12,1357.06,8.46,0.58,587.26,8147,4.52,1.42,2024-12-02T00:00:00.000Z,Footwear,LAX_DC
0.26,1519,4246.38,1104,1102.43,3.93,424.64,1.69,5985.05,774.31,520,2,4263.77,69.00,0.33,430.61,311.95,0.40,297.25,758.37,1.57,0.24,23536.48,1094.10,11.36,0.55,467.10,10128,3.85,1.38,2024-12-02T00:00:00.000Z,HomeGoods,ATL_DC
5.06,1916,3972.09,1368,1365.77,3.52,397.21,1.20,6144.32,728.99,520,3,4607.35,57.00,0.14,405.62,6068.46,0.42,278.05,706.57,2.23,0.18,21648.76,1018.72,8.62,0.73,436.93,7390,2.91,1.40,2024-12-02T00:00:00.000Z,HomeGoods,BOS_DC
9.86,2243,4669.83,992,989.33,3.87,466.98,1.50,5758.69,842.33,520,2,4905.09,62.00,0.07,468.04,11833.05,0.36,326.89,839.51,2.67,0.15,22283.22,1212.39,6.47,0.66,513.68,8664,4.72,2.27,2024-12-02T00:00:00.000Z,HomeGoods,CHI_DC
14.66,2345,4747.28,1560,1559.27,3.45,474.73,1.37,6674.43,867.33,520,3,4744.05,65.00,0.38,482.42,17593.57,0.40,332.31,846.82,0.73,0.20,23028.88,1221.47,7.41,0.71,522.20,9159,3.04,1.50,2024-12-02T00:00:00.000Z,HomeGoods,DAL_DC
19.42,2295,5342.94,976,975.71,4.60,534.29,1.56,5217.64,960.88,520,2,4687.89,61.00,0.32,533.79,23307.53,0.35,374.01,962.24,0.29,0.21,24016.12,1390.01,9.71,0.63,587.72,8147,5.48,2.35,2024-12-02T00:00:00.000Z,HomeGoods,LAX_DC
0.36,1087,3027.47,960,958.03,4.33,302.75,1.39,5288.48,518.26,520,3,3299.76,40.00,0.26,286.74,437.39,0.17,211.92,560.95,1.97,0.18,22873.33,813.82,14.72,0.57,333.02,7340,3.16,1.13,2024-12-09T00:00:00.000Z,Accessories,ATL_DC
5.15,1515,3250.45,936,934.88,3.67,325.05,1.47,5922.74,584.61,520,3,3303.24,39.00,0.24,324.76,6174.32,0.35,227.53,585.36,1.12,0.16,21743.16,845.59,11.08,0.67,357.55,8685,3.48,1.62,2024-12-09T00:00:00.000Z,Accessories,BOS_DC
9.96,1029,3268.98,720,718.11,3.69,326.90,1.36,6436.95,564.68,520,2,3412.49,45.00,0.08,312.65,11954.40,0.20,228.83,602.66,1.89,0.13,23756.82,873.67,9.23,0.56,359.59,8764,4.55,1.43,2024-12-09T00:00:00.000Z,Accessories,CHI_DC
14.75,1284,3317.65,512,510.90,3.45,331.76,1.35,6427.48,574.43,520,2,3073.96,32.00,0.22,318.11,17702.88,0.21,232.24,610.83,1.10,0.25,22177.86,885.34,12.81,0.42,364.94,8687,6.49,2.51,2024-12-09T00:00:00.000Z,Accessories,DAL_DC
19.51,1340,3276.02,768,765.37,3.69,327.60,1.62,5983.99,557.02,520,2,3152.21,48.00,0.16,308.01,23407.86,0.15,229.32,609.28,2.63,0.27,22057.86,884.43,11.08,0.71,360.36,9711,4.28,1.75,2024-12-09T00:00:00.000Z,Accessories,LAX_DC
0.36,1887,5821.76,1344,1342.66,4.33,582.18,1.39,5288.48,1103.74,520,2,6603.99,84.00,0.17,615.67,437.39,0.54,407.52,1014.42,1.34,0.17,22873.33,1457.84,11.04,0.68,640.39,7340,4.34,1.41,2024-12-09T00:00:00.000Z,Apparel,ATL_DC
5.15,2223,5410.45,1360,1359.43,3.67,541.05,1.47,5922.74,1024.09,520,2,5934.29,85.00,0.33,571.17,6174.32,0.54,378.73,943.75,0.57,0.24,21743.16,1356.50,12.15,0.75,595.15,8685,3.98,1.64,2024-12-09T00:00:00.000Z,Apparel,BOS_DC
9.96,1933,6250.36,1776,1773.32,3.69,625.04,1.36,6436.95,1188.08,520,3,6158.93,74.00,0.09,662.85,11954.40,0.55,437.53,1087.26,2.68,0.13,23756.82,1562.08,12.40,0.48,687.54,8764,3.52,1.09,2024-12-09T00:00:00.000Z,Apparel,CHI_DC
14.75,1805,5408.14,1896,1892.42,3.45,540.81,1.35,6427.48,1059.20,520,3,5742.40,79.00,0.27,592.26,17702.88,0.67,378.57,922.02,3.58,0.10,22177.86,1320.38,9.62,0.70,594.90,8687,2.86,0.95,2024-12-09T00:00:00.000Z,Apparel,DAL_DC
19.51,2451,5347.78,2424,2422.98,3.69,534.78,1.62,5983.99,995.51,520,3,5920.34,101.00,0.22,554.53,23407.86,0.47,374.34,942.85,1.02,0.16,22057.86,1357.51,10.81,0.57,588.26,9711,2.21,1.01,2024-12-09T00:00:00.000Z,Apparel,LAX_DC
0.36,1304,4351.21,752,750.82,4.33,435.12,1.39,5288.48,771.82,520,2,4242.61,47.00,0.13,428.28,437.39,0.30,304.58,790.05,1.18,0.15,22873.33,1142.71,10.79,0.48,478.63,7340,5.80,1.74,2024-12-09T00:00:00.000Z,Beauty,ATL_DC
5.15,1188,3812.85,960,959.05,3.67,381.29,1.47,5922.74,674.81,520,3,3960.05,40.00,0.07,374.39,6174.32,0.29,266.90,693.21,0.95,0.13,21743.16,1002.84,9.93,0.65,419.41,8685,3.98,1.24,2024-12-09T00:00:00.000Z,Beauty,BOS_DC
9.96,1757,3920.01,1368,1365.61,3.69,392.00,1.36,6436.95,706.39,520,3,3989.62,57.00,0.26,392.48,11954.40,0.35,274.40,705.13,2.39,0.15,23756.82,1018.41,7.71,0.57,431.20,8764,2.87,1.29,2024-12-09T00:00:00.000Z,Beauty,CHI_DC
14.75,1159,3587.02,1104,1100.81,3.45,358.70,1.35,6427.48,636.96,520,3,3903.63,46.00,0.19,353.48,17702.88,0.30,251.09,650.88,3.19,0.16,22177.86,941.32,16.09,0.67,394.57,8687,3.26,1.05,2024-12-09T00:00:00.000Z,Beauty,DAL_DC
19.51,1958,4246.45,832,831.01,3.69,424.65,1.62,5983.99,733.89,520,2,3805.46,52.00,0.05,406.36,23407.86,0.21,297.25,782.65,0.99,0.14,22057.86,1134.55,10.29,0.56,467.11,9711,5.11,2.36,2024-12-09T00:00:00.000Z,Beauty,LAX_DC
